name,epic,yahoo_ticker,sector,is_fund
3i Infrastructure,3IN,3IN.L,Financial Services,True
4imprint,FOUR,FOUR.L,Media,False
Aberdeen Asia Focus,AAS,AAS.L,Investment Trusts,True
Aberdeen Group,ABDN,ABDN.L,Financial Services,False
Aberforth Smaller Companies Trust,ASL,ASL.L,Investment Trusts,True
AEP Plantations,AEP,AEP.L,Food Producers,False
Alfa Financial Software,ALFA,ALFA.L,Software and Computer Services,False
Allianz Technology Trust,ATT,ATT.L,Investment Trusts,True
AO World,AO,AO.L,Retail,False
Applied Nutrition,APN,APN.L,Food Producers,False
Ashmore Group,ASHM,ASHM.L,Financial Services,False
Ashoka India Equity Investment Trust,AIE,AIE.L,Investment Trusts,True
Aston Martin Lagonda,AML,AML.L,Automobiles & Parts,False
Atalaya Mining,ATYM,ATYM.L,Industrial Metals and Mining,False
AVI Global Trust,AGT,AGT.L,Investment Trusts,True
Avon Technologies,AVON,AVON.L,Industrial Goods and Services,False
B&M,BME,BME.L,Retailers,False
Baillie Gifford Japan Trust,BGFD,BGFD.L,Investment Trusts,True
Baillie Gifford US Growth Trust,USA,USA.L,Investment Trusts,True
Balfour Beatty,BBY,BBY.L,Construction & Materials,False
Baltic Classifieds,BCG,BCG.L,Consumer Digital Services,False
Bankers Investment Trust,BNKR,BNKR.L,Investment Trusts,True
A.G. Barr,BAG,BAG.L,Beverages,False
AJ Bell,AJB,AJB.L,Financial Services,False
Bellway,BWY,BWY.L,Home Construction,False
BH Macro,BHMG,BHMG.L,Hedge Funds,True
Big Yellow Group,BYG,BYG.L,Real Estate Investment Trusts,True
Biopharma Credit,BPCR,BPCR.L,Investment Trusts,True
BlackRock Greater Europe Investment Trust,BRGE,BRGE.L,Investment Trusts,True
BlackRock Smaller Companies Trust,BRSC,BRSC.L,Investment Trusts,True
BlackRock World Mining Trust,BRWM,BRWM.L,Investment Trusts,True
Bluefield Solar Income Fund,BSIF,BSIF.L,Investment Trusts,True
Bodycote,BOY,BOY.L,Industrial Engineering,False
Breedon Group,BREE,BREE.L,Construction & Materials,False
Bridgepoint Group,BPT,BPT.L,Financial Services,False
Brunner Investment Trust,BUT,BUT.L,Investment Trusts,True
Bytes Technology Group,BYIT,BYIT.L,Aerospace & Defence,False
C&C Group,CCR,CCR.L,Food & Tobacco,False
Caledonia Investments,CLDN,CLDN.L,Investment Trusts,True
Capital Gearing Trust,CGT,CGT.L,Investment Trusts,True
Carnival Corporation & plc,CCL,CCL.L,Travel & Leisure,False
Ceres Power,CWR,CWR.L,Alternative Energy,False
Chemring Group,CHG,CHG.L,Aerospace & Defence,False
Chesnara,CSN,CSN.L,Life Insurance,False
Chrysalis Investments,CHRY,CHRY.L,Investment Trusts,True
City of London Investment Trust,CTY,CTY.L,Investment Trusts,True
Clarkson,CKN,CKN.L,Industrial Transportation,False
Close Brothers Group,CBG,CBG.L,Financial Services,False
CMC Markets,CMCX,CMCX.L,Financial Services,False
Coats Group,COA,COA.L,Consumer Staples,False
Computacenter,CCC,CCC.L,Software & Computer Services,False
Costain Group,COST,COST.L,Engineering and Construction,False
Cranswick,CWK,CWK.L,Food Producers,False
Currys,CURY,CURY.L,Retailers,False
CVS Group,CVSG,CVSG.L,Health Care,False
Derwent London,DLN,DLN.L,Real Estate Investment Trusts,True
discoverIE,DSCV,DSCV.L,Support Services,False
Domino's Pizza,DOM,DOM.L,Travel & Leisure,False
Drax Group,DRX,DRX.L,Electricity,False
Dr. Martens,DOCS,DOCS.L,Retailers,False
Dunelm Group,DNLM,DNLM.L,Retailers,False
EasyJet,EZJ,EZJ.L,Travel and Leisure,False
Edinburgh Investment Trust,EDIN,EDIN.L,Investment Trusts,True
Edinburgh Worldwide Investment Trust,EWI,EWI.L,Investment Trusts,True
Elementis,ELM,ELM.L,Chemicals,False
Energean,ENOG,ENOG.L,Oil & Gas Producers,False
European Smaller Companies Trust,ESCT,ESCT.L,Investment Trusts,True
Eurowag,EWG,EWG.L,Financial Services,False
Fidelity China Special Situations,FCSS,FCSS.L,Investment Trusts,True
Fidelity Emerging Markets,FEML,FEML.L,Investment Trusts,True
Fidelity European Trust,FEV,FEV.L,Investment Trusts,True
Fidelity Special Values,FSV,FSV.L,Investment Trusts,True
Finsbury Growth & Income Trust,FGT,FGT.L,Equity Investments,True
FirstGroup,FGP,FGP.L,Travel & Leisure,False
Foresight Environmental Infrastructure,FGEN,FGEN.L,Investment Trusts,True
Foresight Group,FSG,FSG.L,Investment Banking and Brokerage Services,False
Frasers Group,FRAS,FRAS.L,Retailers,False
Funding Circle,FCH,FCH.L,Financial Services,True
Galliford Try,GFRD,GFRD.L,Construction,False
Gamma Communications,GAMA,GAMA.L,Telecommunications,False
GB Group,GBG,GBG.L,Software and Computer Services,False
GCP Infrastructure Investments,GCP,GCP.L,General Financial,True
Genuit Group,GEN,GEN.L,Construction & Materials,False
Genus,GNS,GNS.L,Pharmaceuticals & Biotechnology,False
Global Smaller Companies Trust,GSCT,GSCT.L,Investment Trusts,True
Goodwin,GDWN,GDWN.L,General Industrials,False
Grafton Group,GFTU,GFTU.L,Support Services,False
Grainger,GRI,GRI.L,Real Estate Investment & Services,False
Great Portland Estates,GPE,GPE.L,Real Estate Investment Trusts,True
Greencoat UK Wind,UKW,UKW.L,"Gas, Water & Multiutilities",False
Greencore,GNC,GNC.L,"Food, Beverage and Tobacco",False
Greggs,GRG,GRG.L,Food & Drug Retailers,False
Hammerson,HMSO,HMSO.L,Real Estate Investment Trusts,True
Harbour Energy,HBR,HBR.L,Oil & Gas Producers,False
HarbourVest Global Private Equity,HVPE,HVPE.L,Equity Investments,True
Harworth Group,HWG,HWG.L,Real Estate,False
Hays,HAS,HAS.L,Support Services,False
Helios Towers,HTWS,HTWS.L,Telecomms,False
Henderson Far East Income,HFEL,HFEL.L,Investment Trusts,True
Henderson Smaller Companies Investment Trust,HSL,HSL.L,Investment Trusts,True
Herald Investment Trust,HRI,HRI.L,Investment Trusts,True
Hg Capital Trust,HGT,HGT.L,Investment Trusts,True
HICL Infrastructure Company,HICL,HICL.L,Investment Trusts,True
Hikma Pharmaceuticals,HIK,HIK.L,Pharmaceuticals and Biotechnology,False
Hill & Smith,HILS,HILS.L,Industrial Engineering,False
Hilton Food Group,HFG,HFG.L,Food Producers,False
Hochschild Mining,HOC,HOC.L,Basic Resources,False
Hollywood Bowl Group,BOWL,BOWL.L,Travel and leisure,False
Hunting,HTG,HTG.L,"Oil, Gas and Coal",False
Ibstock,IBST,IBST.L,Construction & Materials,False
ICG Enterprise Trust,ICGT,ICGT.L,Investment Trusts,True
Impax Environmental Markets,IEM,IEM.L,Investment Trusts,True
Inchcape,INCH,INCH.L,Retailers,False
IntegraFin Holdings,IHP,IHP.L,Financial Services,False
International Personal Finance,IPF,IPF.L,Financial Services,False
International Public Partnerships,INPP,INPP.L,Financial Services,False
International Workplace Group,IWG,IWG.L,Support Services,False
Invesco Asia Dragon Trust,IAD,IAD.L,Investment Trusts,True
Investec,INVP,INVP.L,Financial Services,False
IP Group,IPO,IPO.L,Financial Services,False
Ithaca Energy,ITH,ITH.L,Oil & Gas Producers,False
ITV,ITV,ITV.L,Media,False
Johnson Matthey,JMAT,JMAT.L,Chemicals,False
Johnson Service Group,JSG,JSG.L,Industrial Support Services,False
JPMorgan American Investment Trust,JAM,JAM.L,Investment Trusts,True
JPMorgan Claverhouse Investment Trust,JCH,JCH.L,Investment Trusts,True
JPMorgan Emerging Markets Dividend Income,JEMI,JEMI.L,Investment Trusts,True
JPMorgan Emerging Markets Growth & Income,JMG,JMG.L,Investment Trusts,True
JPMorgan European Discovery,JEDT,JEDT.L,Investment Trusts,True
JPMorgan European Growth & Income,JEGI,JEGI.L,Investment Trusts,True
JPMorgan Global Growth & Income,JGGI,JGGI.L,Investment Trusts,True
JPMorgan India Growth & Income,JII,JII.L,Investment Trusts,True
JPMorgan Japanese Investment Trust,JFJ,JFJ.L,Investment Trusts,True
JTC,JTC,JTC.L,Financial Services,False
Jupiter Fund Management,JUP,JUP.L,Financial Services,True
Kainos,KNOS,KNOS.L,Software & Computer Services,False
