name,epic,yahoo_ticker,sector,fiscal_year,currency,revenue,gross_profit,operating_income,net_income,gross_margin,operating_margin,net_margin,retrieved_at
4imprint,FOUR,FOUR.L,Media,2025,USD,1346800000.0,436000000.0,145200000.0,113600000.0,0.3237,0.1078,0.0843,2026-08-04
A.G. Barr,BAG,BAG.L,Beverages,2026,GBP,437300000.0,177300000.0,61600000.0,47100000.0,0.4054,0.1409,0.1077,2026-08-04
AEP Plantations,AEP,AEP.L,Food Producers,2025,USD,465211000.0,123821000.0,111854000.0,90882000.0,0.2662,0.2404,0.1954,2026-08-04
AJ Bell,AJB,AJB.L,Financial Services,2025,GBP,317847000.0,,133098000.0,105121000.0,,0.4187,0.3307,2026-08-04
AO World,AO,AO.L,Retail,2026,GBP,1266500000.0,316100000.0,49300000.0,35900000.0,0.2496,0.0389,0.0283,2026-08-04
Aberdeen Group,ABDN,ABDN.L,Financial Services,2025,GBP,1745000000.0,,,399000000.0,,,0.2287,2026-08-04
Alfa Financial Software,ALFA,ALFA.L,Software and Computer Services,2025,GBP,126700000.0,80700000.0,40100000.0,30100000.0,0.6369,0.3165,0.2376,2026-08-04
Applied Nutrition,APN,APN.L,Food Producers,2025,GBP,107100000.0,49300000.0,28100000.0,21100000.0,0.4603,0.2624,0.197,2026-08-04
Ashmore Group,ASHM,ASHM.L,Financial Services,2025,GBP,144400000.0,120600000.0,43700000.0,81200000.0,0.8352,0.3026,0.5623,2026-08-04
Aston Martin Lagonda,AML,AML.L,Automobiles & Parts,2025,GBP,1257700000.0,369800000.0,-189100000.0,-493200000.0,0.294,-0.1504,-0.3921,2026-08-04
Atalaya Mining,ATYM,ATYM.L,Industrial Metals and Mining,2025,EUR,482915000.0,154406000.0,132236000.0,85577000.0,0.3197,0.2738,0.1772,2026-08-04
Avon Technologies,AVON,AVON.L,Industrial Goods and Services,2025,USD,313900000.0,128700000.0,19200000.0,10300000.0,0.41,0.0612,0.0328,2026-08-04
B&M,BME,BME.L,Retailers,2026,GBP,5775000000.0,2105000000.0,374000000.0,164000000.0,0.3645,0.0648,0.0284,2026-08-04
Balfour Beatty,BBY,BBY.L,Construction & Materials,2025,GBP,9489000000.0,468000000.0,188000000.0,263000000.0,0.0493,0.0198,0.0277,2026-08-04
Baltic Classifieds,BCG,BCG.L,Consumer Digital Services,2026,EUR,88485000.0,,60417000.0,50943000.0,,0.6828,0.5757,2026-08-04
Bellway,BWY,BWY.L,Home Construction,2024,GBP,2380200000.0,361200000.0,212800000.0,130500000.0,0.1518,0.0894,0.0548,2026-08-04
Bodycote,BOY,BOY.L,Industrial Engineering,2025,GBP,727100000.0,100100000.0,105900000.0,54900000.0,0.1377,0.1456,0.0755,2026-08-04
Breedon Group,BREE,BREE.L,Construction & Materials,2025,GBP,1713800000.0,1367700000.0,131300000.0,83800000.0,0.7981,0.0766,0.0489,2026-08-04
Bridgepoint Group,BPT,BPT.L,Financial Services,2025,GBP,476000000.0,288200000.0,33500000.0,41500000.0,0.6055,0.0704,0.0872,2026-08-04
Bytes Technology Group,BYIT,BYIT.L,Aerospace & Defence,2026,GBP,220562000.0,167311000.0,62732000.0,51282000.0,0.7586,0.2844,0.2325,2026-08-04
C&C Group,CCR,CCR.L,Food & Tobacco,2026,EUR,1569800000.0,378800000.0,68400000.0,3500000.0,0.2413,0.0436,0.0022,2026-08-04
CMC Markets,CMCX,CMCX.L,Financial Services,2026,GBP,418667000.0,268807000.0,111140000.0,74355000.0,0.6421,0.2655,0.1776,2026-08-04
CVS Group,CVSG,CVSG.L,Health Care,2024,GBP,638700000.0,268700000.0,47800000.0,6400000.0,0.4207,0.0748,0.01,2026-08-04
Ceres Power,CWR,CWR.L,Alternative Energy,2025,GBP,32643000.0,22704000.0,-44201000.0,-47546000.0,0.6955,-1.3541,-1.4565,2026-08-04
Chemring Group,CHG,CHG.L,Aerospace & Defence,2025,GBP,497500000.0,,73400000.0,48200000.0,,0.1475,0.0969,2026-08-04
Chesnara,CSN,CSN.L,Life Insurance,2025,GBP,897100000.0,,30200000.0,-10400000.0,,0.0337,-0.0116,2026-08-04
Clarkson,CKN,CKN.L,Industrial Transportation,2025,GBP,631400000.0,592300000.0,77000000.0,65700000.0,0.9381,0.122,0.1041,2026-08-04
Close Brothers Group,CBG,CBG.L,Financial Services,2024,GBP,793000000.0,,,100400000.0,,,0.1266,2026-08-04
Coats Group,COA,COA.L,Consumer Staples,2025,USD,1464900000.0,573800000.0,288500000.0,103400000.0,0.3917,0.1969,0.0706,2026-08-04
Computacenter,CCC,CCC.L,Software & Computer Services,2025,GBP,9193900000.0,1144100000.0,264600000.0,153700000.0,0.1244,0.0288,0.0167,2026-08-04
Costain Group,COST,COST.L,Engineering and Construction,2025,GBP,1045700000.0,113800000.0,44800000.0,37300000.0,0.1088,0.0428,0.0357,2026-08-04
Cranswick,CWK,CWK.L,Food Producers,2026,GBP,2982500000.0,471300000.0,232800000.0,158300000.0,0.158,0.0781,0.0531,2026-08-04
Currys,CURY,CURY.L,Retailers,2026,GBP,9254000000.0,1697000000.0,220000000.0,165000000.0,0.1834,0.0238,0.0178,2026-08-04
Domino's Pizza,DOM,DOM.L,Travel & Leisure,2025,GBP,685400000.0,314700000.0,102300000.0,58600000.0,0.4591,0.1493,0.0855,2026-08-04
Dr. Martens,DOCS,DOCS.L,Retailers,2026,GBP,764900000.0,506000000.0,60300000.0,23800000.0,0.6615,0.0788,0.0311,2026-08-04
Drax Group,DRX,DRX.L,Electricity,2025,GBP,5390700000.0,1512900000.0,631900000.0,73000000.0,0.2807,0.1172,0.0135,2026-08-04
Dunelm Group,DNLM,DNLM.L,Retailers,2025,GBP,1771000000.0,928300000.0,222000000.0,156300000.0,0.5242,0.1254,0.0883,2026-08-04
